model_name,epoch,train_accuracy,validation_accuracy
resnet18,1,0.3314285714285714,0.5028571428571429
resnet18,2,0.5675,0.6185714285714285
resnet18,3,0.6682142857142858,0.6585714285714286
resnet18,4,0.7407142857142858,0.6585714285714286
resnet18,5,0.7921428571428571,0.6871428571428572
efficientnet_b0,1,0.20642857142857143,0.41714285714285715
efficientnet_b0,2,0.43892857142857145,0.56
efficientnet_b0,3,0.5492857142857143,0.6457142857142857
efficientnet_b0,4,0.6242857142857143,0.6928571428571428
efficientnet_b0,5,0.68,0.7042857142857143
